tazobactam,fraction #,ODf,ff,fi,replicate,dilution,ampicillin
0.0,0,0.913229801909,,-0.000121274661233,0,100.0,2.0
0.0,1,1.735171562,0.0372675825435,0.0580629825486,0,100.0,2.0
0.0,2,1.66973608243,0.0631215497881,0.115312456098,0,100.0,2.0
0.0,3,1.51417298424,0.117450879258,0.198413361225,0,100.0,2.0
0.0,4,1.66973608243,0.15330190802,0.264396162462,0,100.0,2.0
0.0,5,1.63900692673,0.203588784485,0.3370479041,0,100.0,2.0
0.0,6,1.63666335953,0.262646488699,0.418670161771,0,100.0,2.0
0.0,7,1.46214067388,0.354219900571,0.498534234666,0,100.0,2.0
0.0,8,1.69854399582,0.440683521947,0.612826031436,0,100.0,2.0
0.0,9,1.55863521728,0.589947000862,0.726062333201,0,100.0,2.0
0.0,10,1.60414981218,0.723355806574,0.825805326019,0,100.0,2.0
0.0,11,1.42821849175,0.985519774191,0.990643791637,0,100.0,2.0
24.1,0,1.10941193026,,-0.000121274661233,0,100.0,2.0
24.1,1,1.44510478735,0.0727419990478,0.0580629825486,0,100.0,2.0
24.1,2,1.43032118762,0.073704999807,0.115312456098,0,100.0,2.0
24.1,3,1.54295623423,0.122026585287,0.198413361225,0,100.0,2.0
24.1,4,1.46856824125,0.160035425816,0.264396162462,0,100.0,2.0
24.1,5,1.43032118762,0.212029083665,0.3370479041,0,100.0,2.0
24.1,6,1.54518827769,0.275461278028,0.418670161771,0,100.0,2.0
24.1,7,1.43032118762,0.369917446442,0.498534234666,0,100.0,2.0
24.1,8,1.39695086668,0.449125452031,0.612826031436,0,100.0,2.0
24.1,9,1.36008866335,0.591372822273,0.726062333201,0,100.0,2.0
24.1,10,1.70824333743,0.760879675624,0.825805326019,0,100.0,2.0
24.1,11,1.51637184987,0.992532556009,0.990643791637,0,100.0,2.0
41.0,0,1.13630662041,,-0.000121274661233,0,100.0,2.0
41.0,1,1.39901963266,0.366516890301,0.0580629825486,0,100.0,2.0
41.0,2,1.85467520616,0.155883384673,0.115312456098,0,100.0,2.0
41.0,3,1.39695086668,0.132714413157,0.198413361225,0,100.0,2.0
41.0,4,1.69130145914,0.168512116928,0.264396162462,0,100.0,2.0
41.0,5,1.43875503769,0.21855452841,0.3370479041,0,100.0,2.0
41.0,6,1.37434012317,0.277443291438,0.418670161771,0,100.0,2.0
41.0,7,1.50978278127,0.366522469644,0.498534234666,0,100.0,2.0
41.0,8,1.98209998497,0.454807378871,0.612826031436,0,100.0,2.0
41.0,9,1.60414981218,0.58449525805,0.726062333201,0,100.0,2.0
41.0,10,1.45360386629,0.752039609652,0.825805326019,0,100.0,2.0
41.0,11,2.11256209975,0.990581450896,0.990643791637,0,100.0,2.0
69.8,0,0.860890478478,,-0.000121274661233,0,100.0,2.0
69.8,1,1.22687963351,,0.0580629825486,0,100.0,2.0
69.8,2,2.08575201405,0.488775423112,0.115312456098,0,100.0,2.0
69.8,3,1.56313850674,0.268067800144,0.198413361225,0,100.0,2.0
69.8,4,1.66260103167,0.242153093724,0.264396162462,0,100.0,2.0
69.8,5,1.54742291481,0.249378919505,0.3370479041,0,100.0,2.0
69.8,6,1.69612678497,0.290432739735,0.418670161771,0,100.0,2.0
69.8,7,1.52740404993,0.363605398977,0.498534234666,0,100.0,2.0
69.8,8,1.62731754675,0.456481144558,0.612826031436,0,100.0,2.0
69.8,9,1.52298357234,0.589881717683,0.726062333201,0,100.0,2.0
69.8,10,1.58581450644,0.747461880744,0.825805326019,0,100.0,2.0
69.8,11,1.66973608243,0.989192289952,0.990643791637,0,100.0,2.0
118.6,0,0.906809250198,,-0.000121274661233,0,100.0,2.0
118.6,1,1.27672905039,,0.0580629825486,0,100.0,2.0
118.6,2,1.44934963159,0.741497417581,0.115312456098,0,100.0,2.0
118.6,3,1.28256494951,0.599522914917,0.198413361225,0,100.0,2.0
118.6,4,1.39901963266,0.565650213388,0.264396162462,0,100.0,2.0
118.6,5,1.43875503769,0.429419875403,0.3370479041,0,100.0,2.0
118.6,6,1.2554810073,0.365086076252,0.418670161771,0,100.0,2.0
118.6,7,1.35199214098,0.398601343671,0.498534234666,0,100.0,2.0
118.6,8,1.39488432381,0.480763695423,0.612826031436,0,100.0,2.0
118.6,9,1.62498817306,0.615563618271,0.726062333201,0,100.0,2.0
118.6,10,1.63900692673,0.738135889659,0.825805326019,0,100.0,2.0
118.6,11,2.01888870096,0.992454201259,0.990643791637,0,100.0,2.0
201.6,0,0.990322159487,,-0.000121274661233,0,100.0,2.0
201.6,1,1.23256597906,0.863402317373,0.0580629825486,0,100.0,2.0
201.6,2,1.56539411218,0.890535365619,0.115312456098,0,100.0,2.0
201.6,3,1.64370264657,0.670451551181,0.198413361225,0,100.0,2.0
201.6,4,1.44722603825,,0.264396162462,0,100.0,2.0
201.6,5,1.32990088307,0.751175434072,0.3370479041,0,100.0,2.0
201.6,6,1.66973608243,0.611689295367,0.418670161771,0,100.0,2.0
201.6,7,1.52740404993,0.583156742304,0.498534234666,0,100.0,2.0
201.6,8,1.49667198842,0.635971946451,0.612826031436,0,100.0,2.0
201.6,9,1.66735478956,0.670440329836,0.726062333201,0,100.0,2.0
201.6,10,1.74505789123,0.766097283684,0.825805326019,0,100.0,2.0
201.6,11,1.79018631589,0.992563787998,0.990643791637,0,100.0,2.0
342.7,0,0.761786206021,,-0.000121274661233,0,100.0,2.0
342.7,1,1.53183471206,0.965889761674,0.0580629825486,0,100.0,2.0
342.7,2,1.28061768136,0.976207911275,0.115312456098,0,100.0,2.0
342.7,3,1.31201308864,0.930995375144,0.198413361225,0,100.0,2.0
342.7,4,1.31201308864,0.864201811408,0.264396162462,0,100.0,2.0
342.7,5,1.35199214098,0.919468846688,0.3370479041,0,100.0,2.0
342.7,6,1.43453348922,0.876355517456,0.418670161771,0,100.0,2.0
342.7,7,1.46428081022,0.851521965412,0.498534234666,0,100.0,2.0
342.7,8,1.31399242455,0.853517164847,0.612826031436,0,100.0,2.0
342.7,9,1.5880968822,0.865263362722,0.726062333201,0,100.0,2.0
342.7,10,1.69130145914,0.8163912466,0.825805326019,0,100.0,2.0
342.7,11,1.74010837355,0.988911056334,0.990643791637,0,100.0,2.0
582.6,0,0.793249467394,,-0.000121274661233,0,100.0,2.0
582.6,1,1.20056343337,0.974179581951,0.0580629825486,0,100.0,2.0
582.6,2,1.18568572769,0.976208869246,0.115312456098,0,100.0,2.0
582.6,3,1.34997332544,0.966965738743,0.198413361225,0,100.0,2.0
582.6,4,1.17276148865,0.969584199274,0.264396162462,0,100.0,2.0
582.6,5,1.47932882543,0.94048033719,0.3370479041,0,100.0,2.0
582.6,6,1.64370264657,0.963815011529,0.418670161771,0,100.0,2.0
582.6,7,1.41773936116,0.969271073024,0.498534234666,0,100.0,2.0
582.6,8,1.69612678497,0.947545877147,0.612826031436,0,100.0,2.0
582.6,9,1.52740404993,0.958202395324,0.726062333201,0,100.0,2.0
582.6,10,1.70096424882,0.949909582003,0.825805326019,0,100.0,2.0
582.6,11,2.1276196964,0.989786551038,0.990643791637,0,100.0,2.0
0.0,0,1.24972660089,,0.000340916579115,1,100.0,2.0
0.0,1,1.53627560577,0.0272026082473,0.0443767445187,1,100.0,2.0
0.0,2,1.57217684587,0.0585502162498,0.0900807581116,1,100.0,2.0
0.0,3,1.47501736377,0.0933693594424,0.151535886526,1,100.0,2.0
0.0,4,1.39281999927,0.122096184412,0.199246769256,1,100.0,2.0
0.0,5,1.43453348922,0.175601455397,0.254009711778,1,100.0,2.0
0.0,6,1.10407783488,0.25053817198,0.353239998953,1,100.0,2.0
0.0,7,1.04119672643,0.316332870934,0.443138313436,1,100.0,2.0
0.0,8,0.939128542318,0.41419974509,0.546140482954,1,100.0,2.0
0.0,9,0.998708338957,0.541415373299,0.637818786092,1,100.0,2.0
0.0,10,1.60414981218,0.710851585124,0.810194325602,1,100.0,2.0
0.0,11,1.58581450644,0.98965547964,0.993714476928,1,100.0,2.0
24.1,0,1.12370894371,,0.000340916579115,1,100.0,2.0
24.1,1,1.78765120423,0.256172132726,0.0443767445187,1,100.0,2.0
24.1,2,1.525192541,0.100923594484,0.0900807581116,1,100.0,2.0
24.1,3,1.46428081022,0.101333491404,0.151535886526,1,100.0,2.0
24.1,4,1.60184831594,0.141548308474,0.199246769256,1,100.0,2.0
24.1,5,1.45786753308,0.185080760092,0.254009711778,1,100.0,2.0
24.1,6,1.50759143247,0.226361904842,0.353239998953,1,100.0,2.0
24.1,7,1.52077713814,0.308402583503,0.443138313436,1,100.0,2.0
24.1,8,1.43032118762,,0.546140482954,1,100.0,2.0
24.1,9,1.28061768136,0.525730929614,0.637818786092,1,100.0,2.0
24.1,10,1.54072677841,0.717406354754,0.810194325602,1,100.0,2.0
24.1,11,1.27091080771,0.992343169254,0.993714476928,1,100.0,2.0
41.0,0,1.2249879153,,0.000340916579115,1,100.0,2.0
41.0,1,1.58581450644,0.475794698908,0.0443767445187,1,100.0,2.0
41.0,2,1.58353483627,0.239020701734,0.0900807581116,1,100.0,2.0
41.0,3,1.46856824125,0.166783264564,0.151535886526,1,100.0,2.0
41.0,4,1.61569879132,0.163364999725,0.199246769256,1,100.0,2.0
41.0,5,1.49449552016,0.18294492188,0.254009711778,1,100.0,2.0
41.0,6,1.55638752092,0.259817132027,0.353239998953,1,100.0,2.0
41.0,7,1.6110708735,0.318549284025,0.443138313436,1,100.0,2.0
41.0,8,1.56088554384,0.426763751388,0.546140482954,1,100.0,2.0
41.0,9,1.63900692673,0.529252482726,0.637818786092,1,100.0,2.0
41.0,10,1.529618105,0.705467990788,0.810194325602,1,100.0,2.0
41.0,11,0.985307949727,0.991443378073,0.993714476928,1,100.0,2.0
69.8,0,1.0584584594,,0.000340916579115,1,100.0,2.0
69.8,1,1.44722603825,0.81711695291,0.0443767445187,1,100.0,2.0
69.8,2,1.58125786528,,0.0900807581116,1,100.0,2.0
69.8,3,1.75002018061,0.387131645141,0.151535886526,1,100.0,2.0
69.8,4,1.58125786528,0.219817515594,0.199246769256,1,100.0,2.0
69.8,5,1.61569879132,0.237743145199,0.254009711778,1,100.0,2.0
69.8,6,1.64605481321,0.271754720258,0.353239998953,1,100.0,2.0
69.8,7,1.33590064795,0.327069928376,0.443138313436,1,100.0,2.0
69.8,8,1.66260103167,0.414240435429,0.546140482954,1,100.0,2.0
69.8,9,1.59954957078,0.535119199821,0.637818786092,1,100.0,2.0
69.8,10,1.53627560577,0.716406110756,0.810194325602,1,100.0,2.0
69.8,11,0.988649303147,0.992295289665,0.993714476928,1,100.0,2.0
118.6,0,1.22121005236,,0.000340916579115,1,100.0,2.0
118.6,1,1.21179773734,0.854049366499,0.0443767445187,1,100.0,2.0
118.6,2,1.41356364547,0.811193916843,0.0900807581116,1,100.0,2.0
118.6,3,1.40109062652,0.568516525448,0.151535886526,1,100.0,2.0
118.6,4,1.51857323258,0.340804010368,0.199246769256,1,100.0,2.0
118.6,5,1.53405387701,0.400706175431,0.254009711778,1,100.0,2.0
118.6,6,1.39488432381,0.363963910623,0.353239998953,1,100.0,2.0
118.6,7,1.5541424486,0.390010166561,0.443138313436,1,100.0,2.0
118.6,8,1.68648821057,0.439699013732,0.546140482954,1,100.0,2.0
118.6,9,1.64370264657,0.555187932893,0.637818786092,1,100.0,2.0
118.6,10,1.64605481321,0.713441227553,0.810194325602,1,100.0,2.0
118.6,11,1.11297623125,0.990921281332,0.993714476928,1,100.0,2.0
201.6,0,1.08464510054,,0.000340916579115,1,100.0,2.0
201.6,1,1.20430091399,0.940955856518,0.0443767445187,1,100.0,2.0
201.6,2,1.36211813141,0.911946102813,0.0900807581116,1,100.0,2.0
201.6,3,1.45573451806,0.829308615047,0.151535886526,1,100.0,2.0
201.6,4,1.46428081022,,0.199246769256,1,100.0,2.0
201.6,5,1.38869798615,0.72575105951,0.254009711778,1,100.0,2.0
201.6,6,1.64135335341,0.686716300459,0.353239998953,1,100.0,2.0
201.6,7,1.80291224678,0.584423666515,0.443138313436,1,100.0,2.0
201.6,8,1.62033787318,0.556691671929,0.546140482954,1,100.0,2.0
201.6,9,1.60414981218,0.613069446447,0.637818786092,1,100.0,2.0
201.6,10,1.58125786528,0.730912436982,0.810194325602,1,100.0,2.0
201.6,11,1.31201308864,0.992658932238,0.993714476928,1,100.0,2.0
342.7,0,1.33790473647,,0.000340916579115,1,100.0,2.0
342.7,1,1.1690847466,0.973716998822,0.0443767445187,1,100.0,2.0
342.7,2,1.80546756989,0.96505961777,0.0900807581116,1,100.0,2.0
342.7,3,1.19497079679,0.942962030229,0.151535886526,1,100.0,2.0
342.7,4,1.41147918285,0.919654021085,0.199246769256,1,100.0,2.0
342.7,5,1.55863521728,0.925625183814,0.254009711778,1,100.0,2.0
342.7,6,1.43875503769,0.843672506551,0.353239998953,1,100.0,2.0
342.7,7,1.67689770446,0.876918343908,0.443138313436,1,100.0,2.0
342.7,8,1.65312862453,0.855784641953,0.546140482954,1,100.0,2.0
342.7,9,1.80802629296,0.722746285403,0.637818786092,1,100.0,2.0
342.7,10,1.76999838446,0.841050754029,0.810194325602,1,100.0,2.0
342.7,11,1.68889332898,0.993557227073,0.993714476928,1,100.0,2.0
582.6,0,1.2689752987,,0.000340916579115,1,100.0,2.0
582.6,1,1.17460249914,0.976037453653,0.0443767445187,1,100.0,2.0
582.6,2,1.30214685286,0.97107192935,0.0900807581116,1,100.0,2.0
582.6,3,1.42611809247,0.987057875138,0.151535886526,1,100.0,2.0
582.6,4,1.34997332544,0.97518366654,0.199246769256,1,100.0,2.0
582.6,5,1.59954957078,,0.254009711778,1,100.0,2.0
582.6,6,1.49449552016,,0.353239998953,1,100.0,2.0
582.6,7,1.73024739149,0.925539224407,0.443138313436,1,100.0,2.0
582.6,8,1.67212032764,0.946763175197,0.546140482954,1,100.0,2.0
582.6,9,2.08871252147,0.884730216515,0.637818786092,1,100.0,2.0
582.6,10,2.00182180091,0.948552243227,0.810194325602,1,100.0,2.0
582.6,11,2.02461149332,0.99143227822,0.993714476928,1,100.0,2.0
0.0,0,1.45147557253,,0.000417685596839,2,100.0,2.0
0.0,1,1.62964974536,0.0364058407173,0.0631195320643,2,100.0,2.0
0.0,2,2.05057692154,0.079079674392,0.123847229628,2,100.0,2.0
0.0,3,1.75002018061,0.114982956498,0.17798889428,2,100.0,2.0
0.0,4,1.61569879132,0.179593057111,0.257630162739,2,100.0,2.0
0.0,5,1.5880968822,0.262099891607,0.368858147062,2,100.0,2.0
0.0,6,1.54072677841,0.31133101837,0.43835423839,2,100.0,2.0
0.0,7,1.75250613531,0.367544808576,0.50053000376,2,100.0,2.0
0.0,8,1.65549235574,0.513294786218,0.633220373653,2,100.0,2.0
0.0,9,1.45147557253,0.632676041569,0.739417509856,2,100.0,2.0
0.0,10,1.43032118762,0.793771844587,0.878008662941,2,100.0,2.0
0.0,11,1.65312862453,0.990117535167,0.992765554962,2,100.0,2.0
24.1,0,1.08816375036,,0.000417685596839,2,100.0,2.0
24.1,1,1.81058842503,0.133430716582,0.0631195320643,2,100.0,2.0
24.1,2,1.68648821057,0.0892687815798,0.123847229628,2,100.0,2.0
24.1,3,1.63666335953,0.115567318217,0.17798889428,2,100.0,2.0
24.1,4,1.72779002643,0.188821180376,0.257630162739,2,100.0,2.0
24.1,5,1.46214067388,0.25883780755,0.368858147062,2,100.0,2.0
24.1,6,1.57444308372,0.30857887169,0.43835423839,2,100.0,2.0
24.1,7,1.41983062407,0.396285055499,0.50053000376,2,100.0,2.0
24.1,8,1.34795662699,0.517182193307,0.633220373653,2,100.0,2.0
24.1,9,1.54295623423,0.643885652319,0.739417509856,2,100.0,2.0
24.1,10,1.36211813141,0.805442342214,0.878008662941,2,100.0,2.0
24.1,11,1.69854399582,0.988514358457,0.992765554962,2,100.0,2.0
41.0,0,1.10407783488,,0.000417685596839,2,100.0,2.0
41.0,1,1.29233097698,0.433496887988,0.0631195320643,2,100.0,2.0
41.0,2,1.35199214098,0.202484356557,0.123847229628,2,100.0,2.0
41.0,3,1.32790511392,0.16482150784,0.17798889428,2,100.0,2.0
41.0,4,1.2249879153,0.197214966093,0.257630162739,2,100.0,2.0
41.0,5,1.45360386629,0.247320321406,0.368858147062,2,100.0,2.0
41.0,6,1.45573451806,0.318277143732,0.43835423839,2,100.0,2.0
41.0,7,1.4600029166,0.396474477118,0.50053000376,2,100.0,2.0
41.0,8,1.53849990425,0.518209071225,0.633220373653,2,100.0,2.0
41.0,9,1.39488432381,0.649719431778,0.739417509856,2,100.0,2.0
41.0,10,1.44510478735,0.795199642368,0.878008662941,2,100.0,2.0
41.0,11,1.62731754675,0.991995138892,0.992765554962,2,100.0,2.0
69.8,0,0.849968990017,,0.000417685596839,2,100.0,2.0
69.8,1,1.45147557253,0.666544927826,0.0631195320643,2,100.0,2.0
69.8,2,1.52298357234,0.47022487288,0.123847229628,2,100.0,2.0
69.8,3,1.24972660089,,0.17798889428,2,100.0,2.0
69.8,4,1.30017966537,0.275035029777,0.257630162739,2,100.0,2.0
69.8,5,1.52298357234,0.283427248805,0.368858147062,2,100.0,2.0
69.8,6,1.43242618509,,0.43835423839,2,100.0,2.0
69.8,7,1.40523931714,0.406409078608,0.50053000376,2,100.0,2.0
69.8,8,1.48581419627,0.504429868363,0.633220373653,2,100.0,2.0
69.8,9,1.36821941779,0.662478290051,0.739417509856,2,100.0,2.0
69.8,10,1.59496030747,0.801886746506,0.878008662941,2,100.0,2.0
69.8,11,1.80802629296,0.98943155205,0.992765554962,2,100.0,2.0
118.6,0,0.900410063389,,0.000417685596839,2,100.0,2.0
118.6,1,1.59266977626,0.879677874829,0.0631195320643,2,100.0,2.0
118.6,2,1.41147918285,0.720769892907,0.123847229628,2,100.0,2.0
118.6,3,1.49667198842,0.524551003235,0.17798889428,2,100.0,2.0
118.6,4,1.35806133477,0.457953398734,0.257630162739,2,100.0,2.0
118.6,5,1.20804567252,0.378655350821,0.368858147062,2,100.0,2.0
118.6,6,1.31994268516,0.369200515249,0.43835423839,2,100.0,2.0
118.6,7,1.36008866335,0.419157987295,0.50053000376,2,100.0,2.0
118.6,8,1.34191918995,0.541957694528,0.633220373653,2,100.0,2.0
118.6,9,1.38048037154,0.649050817916,0.739417509856,2,100.0,2.0
118.6,10,1.51417298424,0.807247812912,0.878008662941,2,100.0,2.0
118.6,11,1.75002018061,0.993227080784,0.992765554962,2,100.0,2.0
201.6,0,1.1308975079,,0.000417685596839,2,100.0,2.0
201.6,1,1.09698864494,0.943844646787,0.0631195320643,2,100.0,2.0
201.6,2,1.08992549249,0.710716609427,0.123847229628,2,100.0,2.0
201.6,3,1.41565036993,,0.17798889428,2,100.0,2.0
201.6,4,1.24017402307,0.82595004528,0.257630162739,2,100.0,2.0
201.6,5,1.63666335953,0.71094735952,0.368858147062,2,100.0,2.0
201.6,6,1.43664310506,0.656654859894,0.43835423839,2,100.0,2.0
201.6,7,1.42401998475,0.613828675997,0.50053000376,2,100.0,2.0
201.6,8,1.38048037154,0.652197815131,0.633220373653,2,100.0,2.0
201.6,9,1.49014995947,0.695985036151,0.739417509856,2,100.0,2.0
201.6,10,1.86783661578,0.696365479749,0.878008662941,2,100.0,2.0
201.6,11,1.81572295262,0.994172790143,0.992765554962,2,100.0,2.0
342.7,0,0.945658094788,,0.000417685596839,2,100.0,2.0
342.7,1,1.1690847466,0.968212028611,0.0631195320643,2,100.0,2.0
342.7,2,1.21555713704,0.948490602832,0.123847229628,2,100.0,2.0
342.7,3,1.27091080771,0.933300933858,0.17798889428,2,100.0,2.0
342.7,4,1.47932882543,0.939216494773,0.257630162739,2,100.0,2.0
342.7,5,1.60645406611,0.849832371617,0.368858147062,2,100.0,2.0
342.7,6,1.62266161748,0.903080701454,0.43835423839,2,100.0,2.0
342.7,7,1.67689770446,0.893662361564,0.50053000376,2,100.0,2.0
342.7,8,1.59038196999,0.873551160079,0.633220373653,2,100.0,2.0
342.7,9,1.6840860964,0.887054983937,0.739417509856,2,100.0,2.0
342.7,10,2.05639493854,0.90804812015,0.878008662941,2,100.0,2.0
342.7,11,1.72779002643,0.98913583168,0.992765554962,2,100.0,2.0
582.6,0,1.05672529695,,0.000417685596839,2,100.0,2.0
582.6,1,1.06540677157,,0.0631195320643,2,100.0,2.0
582.6,2,1.56765236636,,0.123847229628,2,100.0,2.0
582.6,3,1.33389864576,0.943252649266,0.17798889428,2,100.0,2.0
582.6,4,1.30017966537,0.960414645276,0.257630162739,2,100.0,2.0
582.6,5,1.75002018061,0.958295084198,0.368858147062,2,100.0,2.0
582.6,6,1.64370264657,0.965436151075,0.43835423839,2,100.0,2.0
582.6,7,1.66497644173,0.966136044571,0.50053000376,2,100.0,2.0
582.6,8,1.76999838446,0.964649250565,0.633220373653,2,100.0,2.0
582.6,9,1.81829536644,0.959591211272,0.739417509856,2,100.0,2.0
582.6,10,1.76498434231,0.969531116637,0.878008662941,2,100.0,2.0
582.6,11,1.48581419627,0.992279628076,0.992765554962,2,100.0,2.0
