row,col,day,population_id,piperacillin (ug/ml),measurement_type,measurement_value
0,0,0,0|0,0,CFP,8.497
0,1,0,0|1,0,CFP,11.55
0,2,0,0|2,0,CFP,14.04
0,3,0,0|3,0,CFP,16.34
0,4,0,0|4,0,CFP,19.8
0,5,0,0|5,0,CFP,26.82
0,6,0,0|6,0,CFP,27.74
0,7,0,0|7,0,CFP,32.08
0,8,0,0|8,0,CFP,46.49
0,9,0,0|9,0,CFP,48.71
0,10,0,0|10,0,CFP,59.15
0,11,0,0|11,0,CFP,67.89
1,0,0,1|0,2,CFP,8.497
1,1,0,1|1,2,CFP,11.55
1,2,0,1|2,2,CFP,14.04
1,3,0,1|3,2,CFP,16.34
1,4,0,1|4,2,CFP,19.8
1,5,0,1|5,2,CFP,26.82
1,6,0,1|6,2,CFP,27.74
1,7,0,1|7,2,CFP,32.08
1,8,0,1|8,2,CFP,46.49
1,9,0,1|9,2,CFP,48.71
1,10,0,1|10,2,CFP,59.15
1,11,0,1|11,2,CFP,67.89
2,0,0,2|0,5,CFP,8.497
2,1,0,2|1,5,CFP,11.55
2,2,0,2|2,5,CFP,14.04
2,3,0,2|3,5,CFP,16.34
2,4,0,2|4,5,CFP,19.8
2,5,0,2|5,5,CFP,26.82
2,6,0,2|6,5,CFP,27.74
2,7,0,2|7,5,CFP,32.08
2,8,0,2|8,5,CFP,46.49
2,9,0,2|9,5,CFP,48.71
2,10,0,2|10,5,CFP,59.15
2,11,0,2|11,5,CFP,67.89
3,0,0,3|0,20,CFP,8.497
3,1,0,3|1,20,CFP,11.55
3,2,0,3|2,20,CFP,14.04
3,3,0,3|3,20,CFP,16.34
3,4,0,3|4,20,CFP,19.8
3,5,0,3|5,20,CFP,26.82
3,6,0,3|6,20,CFP,27.74
3,7,0,3|7,20,CFP,32.08
3,8,0,3|8,20,CFP,46.49
3,9,0,3|9,20,CFP,48.71
3,10,0,3|10,20,CFP,59.15
3,11,0,3|11,20,CFP,67.89
4,0,0,4|0,50,CFP,8.497
4,1,0,4|1,50,CFP,11.55
4,2,0,4|2,50,CFP,14.04
4,3,0,4|3,50,CFP,16.34
4,4,0,4|4,50,CFP,19.8
4,5,0,4|5,50,CFP,26.82
4,6,0,4|6,50,CFP,27.74
4,7,0,4|7,50,CFP,32.08
4,8,0,4|8,50,CFP,46.49
4,9,0,4|9,50,CFP,48.71
4,10,0,4|10,50,CFP,59.15
4,11,0,4|11,50,CFP,67.89
5,0,0,5|0,100,CFP,8.497
5,1,0,5|1,100,CFP,11.55
5,2,0,5|2,100,CFP,14.04
5,3,0,5|3,100,CFP,16.34
5,4,0,5|4,100,CFP,19.8
5,5,0,5|5,100,CFP,26.82
5,6,0,5|6,100,CFP,27.74
5,7,0,5|7,100,CFP,32.08
5,8,0,5|8,100,CFP,46.49
5,9,0,5|9,100,CFP,48.71
5,10,0,5|10,100,CFP,59.15
5,11,0,5|11,100,CFP,67.89
6,0,0,6|0,200,CFP,8.497
6,1,0,6|1,200,CFP,11.55
6,2,0,6|2,200,CFP,14.04
6,3,0,6|3,200,CFP,16.34
6,4,0,6|4,200,CFP,19.8
6,5,0,6|5,200,CFP,26.82
6,6,0,6|6,200,CFP,27.74
6,7,0,6|7,200,CFP,32.08
6,8,0,6|8,200,CFP,46.49
6,9,0,6|9,200,CFP,48.71
6,10,0,6|10,200,CFP,59.15
6,11,0,6|11,200,CFP,67.89
7,0,0,7|0,1000,CFP,8.497
7,1,0,7|1,1000,CFP,11.55
7,2,0,7|2,1000,CFP,14.04
7,3,0,7|3,1000,CFP,16.34
7,4,0,7|4,1000,CFP,19.8
7,5,0,7|5,1000,CFP,26.82
7,6,0,7|6,1000,CFP,27.74
7,7,0,7|7,1000,CFP,32.08
7,8,0,7|8,1000,CFP,46.49
7,9,0,7|9,1000,CFP,48.71
7,10,0,7|10,1000,CFP,59.15
7,11,0,7|11,1000,CFP,67.89
0,0,0,0|0,0,OD,1.37434012317
0,1,0,0|1,0,OD,1.70581391191
0,2,0,0|2,0,OD,1.76748972924
0,3,0,0|3,0,OD,1.41983062407
0,4,0,0|4,0,OD,1.50978278127
0,5,0,0|5,0,OD,1.69854399582
0,6,0,0|6,0,OD,1.60414981218
0,7,0,0|7,0,OD,1.50759143247
0,8,0,0|8,0,OD,1.95427225096
0,9,0,0|9,0,OD,1.6840860964
0,10,0,0|10,0,OD,1.77754404533
0,11,0,0|11,0,OD,1.67450753253
1,0,0,1|0,2,OD,1.37434012317
1,1,0,1|1,2,OD,1.70581391191
1,2,0,1|2,2,OD,1.76748972924
1,3,0,1|3,2,OD,1.41983062407
1,4,0,1|4,2,OD,1.50978278127
1,5,0,1|5,2,OD,1.69854399582
1,6,0,1|6,2,OD,1.60414981218
1,7,0,1|7,2,OD,1.50759143247
1,8,0,1|8,2,OD,1.95427225096
1,9,0,1|9,2,OD,1.6840860964
1,10,0,1|10,2,OD,1.77754404533
1,11,0,1|11,2,OD,1.67450753253
2,0,0,2|0,5,OD,1.37434012317
2,1,0,2|1,5,OD,1.70581391191
2,2,0,2|2,5,OD,1.76748972924
2,3,0,2|3,5,OD,1.41983062407
2,4,0,2|4,5,OD,1.50978278127
2,5,0,2|5,5,OD,1.69854399582
2,6,0,2|6,5,OD,1.60414981218
2,7,0,2|7,5,OD,1.50759143247
2,8,0,2|8,5,OD,1.95427225096
2,9,0,2|9,5,OD,1.6840860964
2,10,0,2|10,5,OD,1.77754404533
2,11,0,2|11,5,OD,1.67450753253
3,0,0,3|0,20,OD,1.37434012317
3,1,0,3|1,20,OD,1.70581391191
3,2,0,3|2,20,OD,1.76748972924
3,3,0,3|3,20,OD,1.41983062407
3,4,0,3|4,20,OD,1.50978278127
3,5,0,3|5,20,OD,1.69854399582
3,6,0,3|6,20,OD,1.60414981218
3,7,0,3|7,20,OD,1.50759143247
3,8,0,3|8,20,OD,1.95427225096
3,9,0,3|9,20,OD,1.6840860964
3,10,0,3|10,20,OD,1.77754404533
3,11,0,3|11,20,OD,1.67450753253
4,0,0,4|0,50,OD,1.37434012317
4,1,0,4|1,50,OD,1.70581391191
4,2,0,4|2,50,OD,1.76748972924
4,3,0,4|3,50,OD,1.41983062407
4,4,0,4|4,50,OD,1.50978278127
4,5,0,4|5,50,OD,1.69854399582
4,6,0,4|6,50,OD,1.60414981218
4,7,0,4|7,50,OD,1.50759143247
4,8,0,4|8,50,OD,1.95427225096
4,9,0,4|9,50,OD,1.6840860964
4,10,0,4|10,50,OD,1.77754404533
4,11,0,4|11,50,OD,1.67450753253
5,0,0,5|0,100,OD,1.37434012317
5,1,0,5|1,100,OD,1.70581391191
5,2,0,5|2,100,OD,1.76748972924
5,3,0,5|3,100,OD,1.41983062407
5,4,0,5|4,100,OD,1.50978278127
5,5,0,5|5,100,OD,1.69854399582
5,6,0,5|6,100,OD,1.60414981218
5,7,0,5|7,100,OD,1.50759143247
5,8,0,5|8,100,OD,1.95427225096
5,9,0,5|9,100,OD,1.6840860964
5,10,0,5|10,100,OD,1.77754404533
5,11,0,5|11,100,OD,1.67450753253
6,0,0,6|0,200,OD,1.37434012317
6,1,0,6|1,200,OD,1.70581391191
6,2,0,6|2,200,OD,1.76748972924
6,3,0,6|3,200,OD,1.41983062407
6,4,0,6|4,200,OD,1.50978278127
6,5,0,6|5,200,OD,1.69854399582
6,6,0,6|6,200,OD,1.60414981218
6,7,0,6|7,200,OD,1.50759143247
6,8,0,6|8,200,OD,1.95427225096
6,9,0,6|9,200,OD,1.6840860964
6,10,0,6|10,200,OD,1.77754404533
6,11,0,6|11,200,OD,1.67450753253
7,0,0,7|0,1000,OD,1.37434012317
7,1,0,7|1,1000,OD,1.70581391191
7,2,0,7|2,1000,OD,1.76748972924
7,3,0,7|3,1000,OD,1.41983062407
7,4,0,7|4,1000,OD,1.50978278127
7,5,0,7|5,1000,OD,1.69854399582
7,6,0,7|6,1000,OD,1.60414981218
7,7,0,7|7,1000,OD,1.50759143247
7,8,0,7|8,1000,OD,1.95427225096
7,9,0,7|9,1000,OD,1.6840860964
7,10,0,7|10,1000,OD,1.77754404533
7,11,0,7|11,1000,OD,1.67450753253
0,0,0,0|0,0,RFP,0.4027
0,1,0,0|1,0,RFP,12.34
0,2,0,0|2,0,RFP,25.97
0,3,0,0|3,0,RFP,30.77
0,4,0,0|4,0,RFP,43.46
0,5,0,0|5,0,RFP,67.84
0,6,0,0|6,0,RFP,78.86
0,7,0,0|7,0,RFP,94.28
0,8,0,0|8,0,RFP,164.2
0,9,0,0|9,0,RFP,151.4
0,10,0,0|10,0,RFP,196.8
0,11,0,0|11,0,RFP,238.9
1,0,0,1|0,2,RFP,0.4027
1,1,0,1|1,2,RFP,12.34
1,2,0,1|2,2,RFP,25.97
1,3,0,1|3,2,RFP,30.77
1,4,0,1|4,2,RFP,43.46
1,5,0,1|5,2,RFP,67.84
1,6,0,1|6,2,RFP,78.86
1,7,0,1|7,2,RFP,94.28
1,8,0,1|8,2,RFP,164.2
1,9,0,1|9,2,RFP,151.4
1,10,0,1|10,2,RFP,196.8
1,11,0,1|11,2,RFP,238.9
2,0,0,2|0,5,RFP,0.4027
2,1,0,2|1,5,RFP,12.34
2,2,0,2|2,5,RFP,25.97
2,3,0,2|3,5,RFP,30.77
2,4,0,2|4,5,RFP,43.46
2,5,0,2|5,5,RFP,67.84
2,6,0,2|6,5,RFP,78.86
2,7,0,2|7,5,RFP,94.28
2,8,0,2|8,5,RFP,164.2
2,9,0,2|9,5,RFP,151.4
2,10,0,2|10,5,RFP,196.8
2,11,0,2|11,5,RFP,238.9
3,0,0,3|0,20,RFP,0.4027
3,1,0,3|1,20,RFP,12.34
3,2,0,3|2,20,RFP,25.97
3,3,0,3|3,20,RFP,30.77
3,4,0,3|4,20,RFP,43.46
3,5,0,3|5,20,RFP,67.84
3,6,0,3|6,20,RFP,78.86
3,7,0,3|7,20,RFP,94.28
3,8,0,3|8,20,RFP,164.2
3,9,0,3|9,20,RFP,151.4
3,10,0,3|10,20,RFP,196.8
3,11,0,3|11,20,RFP,238.9
4,0,0,4|0,50,RFP,0.4027
4,1,0,4|1,50,RFP,12.34
4,2,0,4|2,50,RFP,25.97
4,3,0,4|3,50,RFP,30.77
4,4,0,4|4,50,RFP,43.46
4,5,0,4|5,50,RFP,67.84
4,6,0,4|6,50,RFP,78.86
4,7,0,4|7,50,RFP,94.28
4,8,0,4|8,50,RFP,164.2
4,9,0,4|9,50,RFP,151.4
4,10,0,4|10,50,RFP,196.8
4,11,0,4|11,50,RFP,238.9
5,0,0,5|0,100,RFP,0.4027
5,1,0,5|1,100,RFP,12.34
5,2,0,5|2,100,RFP,25.97
5,3,0,5|3,100,RFP,30.77
5,4,0,5|4,100,RFP,43.46
5,5,0,5|5,100,RFP,67.84
5,6,0,5|6,100,RFP,78.86
5,7,0,5|7,100,RFP,94.28
5,8,0,5|8,100,RFP,164.2
5,9,0,5|9,100,RFP,151.4
5,10,0,5|10,100,RFP,196.8
5,11,0,5|11,100,RFP,238.9
6,0,0,6|0,200,RFP,0.4027
6,1,0,6|1,200,RFP,12.34
6,2,0,6|2,200,RFP,25.97
6,3,0,6|3,200,RFP,30.77
6,4,0,6|4,200,RFP,43.46
6,5,0,6|5,200,RFP,67.84
6,6,0,6|6,200,RFP,78.86
6,7,0,6|7,200,RFP,94.28
6,8,0,6|8,200,RFP,164.2
6,9,0,6|9,200,RFP,151.4
6,10,0,6|10,200,RFP,196.8
6,11,0,6|11,200,RFP,238.9
7,0,0,7|0,1000,RFP,0.4027
7,1,0,7|1,1000,RFP,12.34
7,2,0,7|2,1000,RFP,25.97
7,3,0,7|3,1000,RFP,30.77
7,4,0,7|4,1000,RFP,43.46
7,5,0,7|5,1000,RFP,67.84
7,6,0,7|6,1000,RFP,78.86
7,7,0,7|7,1000,RFP,94.28
7,8,0,7|8,1000,RFP,164.2
7,9,0,7|9,1000,RFP,151.4
7,10,0,7|10,1000,RFP,196.8
7,11,0,7|11,1000,RFP,238.9
0,0,0,0|0,0,YFP,35.37
0,1,0,0|1,0,YFP,44.42
0,2,0,0|2,0,YFP,43.87
0,3,0,0|3,0,YFP,36.95
0,4,0,0|4,0,YFP,33.49
0,5,0,0|5,0,YFP,37.32
0,6,0,0|6,0,YFP,25.55
0,7,0,0|7,0,YFP,22.78
0,8,0,0|8,0,YFP,23.09
0,9,0,0|9,0,YFP,14.74
0,10,0,0|10,0,YFP,8.585
0,11,0,0|11,0,YFP,1.726
1,0,0,1|0,2,YFP,35.37
1,1,0,1|1,2,YFP,44.42
1,2,0,1|2,2,YFP,43.87
1,3,0,1|3,2,YFP,36.95
1,4,0,1|4,2,YFP,33.49
1,5,0,1|5,2,YFP,37.32
1,6,0,1|6,2,YFP,25.55
1,7,0,1|7,2,YFP,22.78
1,8,0,1|8,2,YFP,23.09
1,9,0,1|9,2,YFP,14.74
1,10,0,1|10,2,YFP,8.585
1,11,0,1|11,2,YFP,1.726
2,0,0,2|0,5,YFP,35.37
2,1,0,2|1,5,YFP,44.42
2,2,0,2|2,5,YFP,43.87
2,3,0,2|3,5,YFP,36.95
2,4,0,2|4,5,YFP,33.49
2,5,0,2|5,5,YFP,37.32
2,6,0,2|6,5,YFP,25.55
2,7,0,2|7,5,YFP,22.78
2,8,0,2|8,5,YFP,23.09
2,9,0,2|9,5,YFP,14.74
2,10,0,2|10,5,YFP,8.585
2,11,0,2|11,5,YFP,1.726
3,0,0,3|0,20,YFP,35.37
3,1,0,3|1,20,YFP,44.42
3,2,0,3|2,20,YFP,43.87
3,3,0,3|3,20,YFP,36.95
3,4,0,3|4,20,YFP,33.49
3,5,0,3|5,20,YFP,37.32
3,6,0,3|6,20,YFP,25.55
3,7,0,3|7,20,YFP,22.78
3,8,0,3|8,20,YFP,23.09
3,9,0,3|9,20,YFP,14.74
3,10,0,3|10,20,YFP,8.585
3,11,0,3|11,20,YFP,1.726
4,0,0,4|0,50,YFP,35.37
4,1,0,4|1,50,YFP,44.42
4,2,0,4|2,50,YFP,43.87
4,3,0,4|3,50,YFP,36.95
4,4,0,4|4,50,YFP,33.49
4,5,0,4|5,50,YFP,37.32
4,6,0,4|6,50,YFP,25.55
4,7,0,4|7,50,YFP,22.78
4,8,0,4|8,50,YFP,23.09
4,9,0,4|9,50,YFP,14.74
4,10,0,4|10,50,YFP,8.585
4,11,0,4|11,50,YFP,1.726
5,0,0,5|0,100,YFP,35.37
5,1,0,5|1,100,YFP,44.42
5,2,0,5|2,100,YFP,43.87
5,3,0,5|3,100,YFP,36.95
5,4,0,5|4,100,YFP,33.49
5,5,0,5|5,100,YFP,37.32
5,6,0,5|6,100,YFP,25.55
5,7,0,5|7,100,YFP,22.78
5,8,0,5|8,100,YFP,23.09
5,9,0,5|9,100,YFP,14.74
5,10,0,5|10,100,YFP,8.585
5,11,0,5|11,100,YFP,1.726
6,0,0,6|0,200,YFP,35.37
6,1,0,6|1,200,YFP,44.42
6,2,0,6|2,200,YFP,43.87
6,3,0,6|3,200,YFP,36.95
6,4,0,6|4,200,YFP,33.49
6,5,0,6|5,200,YFP,37.32
6,6,0,6|6,200,YFP,25.55
6,7,0,6|7,200,YFP,22.78
6,8,0,6|8,200,YFP,23.09
6,9,0,6|9,200,YFP,14.74
6,10,0,6|10,200,YFP,8.585
6,11,0,6|11,200,YFP,1.726
7,0,0,7|0,1000,YFP,35.37
7,1,0,7|1,1000,YFP,44.42
7,2,0,7|2,1000,YFP,43.87
7,3,0,7|3,1000,YFP,36.95
7,4,0,7|4,1000,YFP,33.49
7,5,0,7|5,1000,YFP,37.32
7,6,0,7|6,1000,YFP,25.55
7,7,0,7|7,1000,YFP,22.78
7,8,0,7|8,1000,YFP,23.09
7,9,0,7|9,1000,YFP,14.74
7,10,0,7|10,1000,YFP,8.585
7,11,0,7|11,1000,YFP,1.726
0,0,0,0|0,0,fraction,0.0
0,1,0,0|1,0,fraction,0.0376506024096
0,2,0,0|2,0,fraction,0.0721393034826
0,3,0,0|3,0,fraction,0.10502283105
0,4,0,0|4,0,fraction,0.119565217391
0,5,0,0|5,0,fraction,0.214925373134
0,6,0,0|6,0,fraction,0.241784037559
0,7,0,0|7,0,fraction,0.357740585774
0,8,0,0|8,0,fraction,0.419607843137
0,9,0,0|9,0,fraction,0.609375
0,10,0,0|10,0,fraction,0.757478632479
0,11,0,0|11,0,fraction,0.996296296296
1,0,0,1|0,2,fraction,0.0
1,1,0,1|1,2,fraction,0.0376506024096
1,2,0,1|2,2,fraction,0.0721393034826
1,3,0,1|3,2,fraction,0.10502283105
1,4,0,1|4,2,fraction,0.119565217391
1,5,0,1|5,2,fraction,0.214925373134
1,6,0,1|6,2,fraction,0.241784037559
1,7,0,1|7,2,fraction,0.357740585774
1,8,0,1|8,2,fraction,0.419607843137
1,9,0,1|9,2,fraction,0.609375
1,10,0,1|10,2,fraction,0.757478632479
1,11,0,1|11,2,fraction,0.996296296296
2,0,0,2|0,5,fraction,0.0
2,1,0,2|1,5,fraction,0.0376506024096
2,2,0,2|2,5,fraction,0.0721393034826
2,3,0,2|3,5,fraction,0.10502283105
2,4,0,2|4,5,fraction,0.119565217391
2,5,0,2|5,5,fraction,0.214925373134
2,6,0,2|6,5,fraction,0.241784037559
2,7,0,2|7,5,fraction,0.357740585774
2,8,0,2|8,5,fraction,0.419607843137
2,9,0,2|9,5,fraction,0.609375
2,10,0,2|10,5,fraction,0.757478632479
2,11,0,2|11,5,fraction,0.996296296296
3,0,0,3|0,20,fraction,0.0
3,1,0,3|1,20,fraction,0.0376506024096
3,2,0,3|2,20,fraction,0.0721393034826
3,3,0,3|3,20,fraction,0.10502283105
3,4,0,3|4,20,fraction,0.119565217391
3,5,0,3|5,20,fraction,0.214925373134
3,6,0,3|6,20,fraction,0.241784037559
3,7,0,3|7,20,fraction,0.357740585774
3,8,0,3|8,20,fraction,0.419607843137
3,9,0,3|9,20,fraction,0.609375
3,10,0,3|10,20,fraction,0.757478632479
3,11,0,3|11,20,fraction,0.996296296296
4,0,0,4|0,50,fraction,0.0
4,1,0,4|1,50,fraction,0.0376506024096
4,2,0,4|2,50,fraction,0.0721393034826
4,3,0,4|3,50,fraction,0.10502283105
4,4,0,4|4,50,fraction,0.119565217391
4,5,0,4|5,50,fraction,0.214925373134
4,6,0,4|6,50,fraction,0.241784037559
4,7,0,4|7,50,fraction,0.357740585774
4,8,0,4|8,50,fraction,0.419607843137
4,9,0,4|9,50,fraction,0.609375
4,10,0,4|10,50,fraction,0.757478632479
4,11,0,4|11,50,fraction,0.996296296296
5,0,0,5|0,100,fraction,0.0
5,1,0,5|1,100,fraction,0.0376506024096
5,2,0,5|2,100,fraction,0.0721393034826
5,3,0,5|3,100,fraction,0.10502283105
5,4,0,5|4,100,fraction,0.119565217391
5,5,0,5|5,100,fraction,0.214925373134
5,6,0,5|6,100,fraction,0.241784037559
5,7,0,5|7,100,fraction,0.357740585774
5,8,0,5|8,100,fraction,0.419607843137
5,9,0,5|9,100,fraction,0.609375
5,10,0,5|10,100,fraction,0.757478632479
5,11,0,5|11,100,fraction,0.996296296296
6,0,0,6|0,200,fraction,0.0
6,1,0,6|1,200,fraction,0.0376506024096
6,2,0,6|2,200,fraction,0.0721393034826
6,3,0,6|3,200,fraction,0.10502283105
6,4,0,6|4,200,fraction,0.119565217391
6,5,0,6|5,200,fraction,0.214925373134
6,6,0,6|6,200,fraction,0.241784037559
6,7,0,6|7,200,fraction,0.357740585774
6,8,0,6|8,200,fraction,0.419607843137
6,9,0,6|9,200,fraction,0.609375
6,10,0,6|10,200,fraction,0.757478632479
6,11,0,6|11,200,fraction,0.996296296296
7,0,0,7|0,1000,fraction,0.0
7,1,0,7|1,1000,fraction,0.0376506024096
7,2,0,7|2,1000,fraction,0.0721393034826
7,3,0,7|3,1000,fraction,0.10502283105
7,4,0,7|4,1000,fraction,0.119565217391
7,5,0,7|5,1000,fraction,0.214925373134
7,6,0,7|6,1000,fraction,0.241784037559
7,7,0,7|7,1000,fraction,0.357740585774
7,8,0,7|8,1000,fraction,0.419607843137
7,9,0,7|9,1000,fraction,0.609375
7,10,0,7|10,1000,fraction,0.757478632479
7,11,0,7|11,1000,fraction,0.996296296296
